year,age_range,sleep_time
2000,20-29,433.07
2000,30-39,451.53
2003,24.6,452
2006,37.2,426.1
2007,20.14,483.12
2008,24.9,458
2008,23.3,438
2008,39,438
2008,39,416
2009,23.8,441.4
2009,24.6,449.6
2009,39.8,386.56
2009,29.8,395.27
2009,25.3,456.3
2009,24.3,443.26
2011,18-32,474
2011,20-31,446.2
2011,22.6,373.1
2012,25.2,390.7
2012,26,410.9
2012,30.39,403
2012,21.1,507
